Agent,Regime,Return (%),Sharpe,Max Drawdown (%),N Days
Equal Weight,Bull,48.26,1.897,6.97,454
Equal Weight,Neutral,24.99,2.008,7.52,201
Equal Weight,Bear,-2.09,-0.524,7.79,75
Risk Parity,Bull,35.65,2.314,5.03,454
Risk Parity,Neutral,18.65,2.08,6.01,201
Risk Parity,Bear,-0.21,-0.084,4.05,75
Momentum (60d),Bull,53.83,1.148,14.71,454
Momentum (60d),Neutral,41.54,2.246,12.27,201
Momentum (60d),Bear,0.47,0.203,3.57,75
DQN (Baseline),Bull,10.86,1.521,5.18,129
DQN (Baseline),Neutral,16.75,1.798,10.25,123
PPO (Baseline),Bull,8.27,1.218,6.57,129
PPO (Baseline),Neutral,13.64,1.456,9.51,123
Safe PPO (Risk-Aware),Bull,7.94,1.246,5.71,129
Safe PPO (Risk-Aware),Neutral,15.98,1.475,11.18,123
